Instance,Algorithm,Run,Best,Worst,Avg,Std,pop_size,gen,Px,Pm,tournament,Elitism,cooling,innerLoop
a-n60-k9.vrp,ga,1,1605.4043,4113.1401,3688.3547,230.2645,200,0,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1605.4043,4032.1184,3408.4053,412.3976,200,1,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1605.4043,3720.2146,2690.9082,585.2799,200,2,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1575.0619,2487.7593,1873.6682,193.3030,200,3,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1575.0619,2227.9370,1766.4199,130.8197,200,4,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1575.0619,2118.8489,1764.2828,133.2996,200,5,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1575.0619,2152.1211,1770.0653,141.6366,200,6,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1575.0619,2244.3501,1792.4453,144.9782,200,7,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1575.0619,2190.4170,1790.0414,149.7779,200,8,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1575.0619,2175.6230,1790.2002,147.6963,200,9,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1561.7944,2084.8264,1782.6030,152.7600,200,10,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1561.7944,2159.9050,1797.6084,154.7655,200,11,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1554.3199,2191.1021,1798.9741,153.0480,200,12,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1554.3199,2216.3865,1793.6669,153.2197,200,13,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1554.3199,2152.4243,1807.8796,147.9303,200,14,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1554.3199,2209.6472,1811.6150,165.7870,200,15,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1554.3199,2218.1641,1776.6133,163.0182,200,16,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1554.3199,2129.3677,1772.1382,149.4715,200,17,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.9001,2125.2925,1760.9449,150.6448,200,18,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.9001,2261.3108,1784.6968,151.7309,200,19,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.9001,2168.6404,1771.5190,154.2830,200,20,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.9001,2261.8176,1780.7377,159.8019,200,21,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.9001,2300.5667,1791.1365,170.0415,200,22,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.9001,2172.3867,1784.9100,154.0803,200,23,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.9001,2337.1658,1781.7865,159.1844,200,24,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.9001,2174.0310,1761.8633,148.2286,200,25,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2162.9143,1785.2239,167.2559,200,26,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2198.0142,1808.5150,167.2597,200,27,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2308.3599,1802.1287,161.9190,200,28,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2200.3643,1797.9135,162.2857,200,29,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2296.0312,1804.0496,156.9787,200,30,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2345.0146,1833.0872,185.8543,200,31,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2530.5933,1882.3247,228.6046,200,32,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2423.5547,1885.4203,225.8346,200,33,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2615.4480,1893.7310,224.1836,200,34,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2690.7808,1896.8588,247.0739,200,35,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2500.7786,1962.8939,246.5668,200,36,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2644.0029,1982.1267,262.1735,200,37,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2534.4644,1964.9751,250.2691,200,38,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2627.7168,1951.9290,252.1136,200,39,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1898,2619.5305,1947.7258,252.5090,200,40,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1545.1897,2518.8523,1852.5720,220.4629,200,41,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1541.1251,2490.1968,1848.5972,212.7793,200,42,0.9000,0.0500,10,10,0.0000,0
