Instance,Algorithm,Run,Best,Worst,Avg,Std,pop_size,gen,Px,Pm,tournament,Elitism,cooling,innerLoop
a-n32-k5.vrp,ga,1,997.0400,2485.4175,2105.7622,165.9847,200,0,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,1024.9690,2464.6094,2109.1389,160.9397,200,0,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.4605,2462.9226,2108.6636,150.9898,200,0,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,983.2375,2450.1313,2115.6125,160.3218,200,0,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,972.1113,2395.7405,2102.2007,153.8381,200,0,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.4605,2422.4250,2121.6462,150.3961,200,0,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,1050.5728,2437.5955,2095.4153,155.2066,200,0,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,967.8344,2508.3938,2118.2947,167.5331,200,0,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,935.5962,2507.7820,2125.1570,169.1152,200,0,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,1023.8994,2441.9604,2116.5767,153.9098,200,0,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,972.1113,2294.1018,1895.7736,230.0750,200,1,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,983.2375,2413.5598,1917.1925,231.4796,200,1,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,1023.8994,2305.1907,1936.8070,206.0621,200,1,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.4605,2369.8491,1920.7235,226.1998,200,1,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,935.5962,2322.3638,1920.4487,212.9221,200,1,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.4605,2327.2632,1952.2625,181.8561,200,1,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.0400,2341.6382,1888.4913,195.6760,200,1,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,935.5962,2104.9109,1607.0774,292.6150,200,2,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,967.8344,2293.3789,1911.0765,207.5573,200,1,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,1024.9690,2322.6672,1926.4296,224.4987,200,1,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.4605,2224.3799,1687.0057,252.8539,200,2,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,2118.2605,1531.2831,304.5537,200,2,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1638.6959,1234.3094,160.8888,200,3,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.4605,1965.2281,1342.0947,178.0041,200,3,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1701.7734,1143.9001,145.0723,200,4,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,967.8344,2152.0085,1589.3384,258.5562,200,2,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.0400,2179.3528,1601.8385,248.0783,200,2,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1598.2533,1115.7709,142.0145,200,5,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.0400,1738.9412,1281.6125,161.2505,200,3,0.9000,0.0500,10,10,0.0000,0
